title,rating,body
Good product,4,  Liked it but not for multi tasking screen
Okay Product,3,  Every thing is ok but some heating issue.
Good,4,  Good smart i exchanged it with my old one
REDMI9A,5,  This phone is quite amazing at this price
Don't buy redmi,1,  Display stopped working on the second day
Nice product,4,  Nice product but proseser is midium power
Superb,5,  Something is best product
Mst ahe mobile,5,  Nice and excellent mobile
Good to use .,4,  Its working fine so far .
Not worth the money,3,  It don't have fingerprint
Good product,5,  Every thing is good👍👍👍
Nic product,4,  Product is good as value.
Good phone,5,  Nice phone for low budget
Ok,5,  Ok
Ok,5,  Ok
😍,5,  😍
Ok,4,  Ok
👍,5,  👍
Ok,5,  Ok
Ok,3,  Ok
Na,4,  Na
Best,4,  Good budget phone
Waist of money and time,1,  Very bad product.
Good mobile,4,  Like this product
Not that good,2,  Good battery life
Very good product,4,  Very nice product
Very good product,5,  Very good product
phone,4,  ok on this budget
Cheapest,4,  Nice produxt to use with good battery life
Well deserved product,4,  Fantastic
Good,5,  Very Nice
Ok,3,  Nice luck
It's me,5,  Supperb
Nothing,5,  Excellent
Redmi 9 A phone is very good product,5,  Good phone
EVERUY body said we cannot play High games but i can play heavy games,5,  I like its hyper engine i.can Play Free Fire (FF) Smoothly
Opinion,5,  Nice product in reasonable price
Too good budget phone segment.,4,  Nyc product in this price range.
Worthful for the money,4,  I like it worthful for the money
Best mobile in 7499 Price.,5,  Good quality in low price mobile
Good for this price range,5,  Good product for senior citizens
Operating system,3,  Awesome mobile phone in budget..
Nope fingure print,2,  Dislike because no fingure print
Excellent,5,  Excellent Product in this price.
Nice product,3,  Nice product in affordable price
Phone hanging,1,"  Phome build quality is not good,"
Very nice mobile,5,  All features are the best in this mobile
Kuch khas nh,2,  Not quality phon..only bzt  phon...bss🤨
Good one in budget,4,  Camera is good and battery life is good.
Add please,4,  In this phone note a fingerprint scanner
Best phone,5,  Redmi 9 phone best phone is kam bujet me
Good but could be better,4,  Good but no fingers print or face unlock
Nice phone value for money,5,  Very nice product I have bought 1day ago
Good in this budget,3,  As per priceOverall average mobile
Good phone for 7 k,4,  Unnecessary apps already build in phone.
Super,4,  Phone is super .but gameplay will be lag
Exallean,5,  This mobile is very nice👍👍👍👍👍👍👍👍
Very good products,5,  Very good products super fast delivery👍
Nice,4,  Great phone review after using few years
For only call purpose or whatsapp phone is good but for camera or gaming don't buy this phone,4,  Battery capacity Is good
Nice,5,  Nice phone in this range
Very poor quality camera,1,  Very poor quality camera
Very nice one,5,  Redmi is favorite mobile
Nice product,5,"  nice product, save money"
Nice phone,5,  Good product from Amazon
camera is good but finger print is not there,5,  I like the phone so much
x,5,  x
Value for money!,5,  Value for money!
Mobile,5,  Barry  only call
Good Investment,5,  Works great 👍🏻
Good,5,  Beautiful Mobile
Worst model,1,"  Restarting automatically,not able to use"
Great,5,  Good product
Good,4,  Nice product for beginners........
Best in Prize,5,  Good one
Good,5,"  Amaging,"
It a good phone,5,  Redmi 9A phone is very good for such a rupee.
Good service delivered just next day,5,  Good service. Nice product but made in china.
"Awesome ,in this budget",5,  Best budget mobile
Good phone,2,  Good phone at this price range.
Excellent,5,  Very good phone value for money
Worth it,4,  Could have given a phone cover.
item working slow,1,  Please return back this product
Nice,4,  Nice product with economy price
Best quality products send me,1,  Battery and camera quality week
Value formoney,5,  Good mobile at affordable price
very good phone,4,  very good battery backup 3 days
Nice,4,  Bad cameraBest for online classes
Headset,3,  There is no headset is with the mobile.
Only Battery,3,  Battery life likeCamera is normal
Budget friendly phone,5,  I bought it for my grandma she liked it
Use less product,1,  Bad bad bad product.  Software is loose
Ram battery,4,  It's very valuable mobile for our money
Value for money,5,  Got a nice phone in this price range 👍
Smart and kifayti phone,4,  Nice look and battery life is very good
Value for money,5,  It's awesome product!!! Worth for money
Wrost phone,1,  Very bad plastic and battery is too bad
Nice product,4,  It is overall good in this price range.
It is good but 3gb ram is not working,3,  It is not 3gb ram bcoz net is very slow
Very nice mobile at a low price,5,  Very nice mobile at a low price....👌👌
Best at this price,4,  It's easy to use and long battery life.
Cheap phone,4,  Good mobile phone in this price range..
short time use,4,  Value for money is good about the phone
Awesome Amazon,5,  Its amazing phone and amazon fastest delivery
Value for money product,4,  Value for money product
Good product,5,  Good item at good price
Awesome phone,5,  Best camera and battery
Value for money,4,  Good product this price
Good product,5,  Value for money product
May try to reduce weight,5,  Good but weight is high
Camera quality,2,  Camera quality not good
Charger heating,3,  Charger heating problem
9a,4,  Nice Product Under 7000
Screen size n battery are amazing !!!,5,  Very good phone
Don't,1,  Best for battey
Fast,5,  Nice phone 👍😁
Very bad ph,1,  Hanging problem
super,4,  Value for money
its biggest screen,4,  Overall average
Average,2,  Not fingerprint
Great product,5,  Value for money
Lagging problem,1,  Lagging problem
Value for money,4,  Value for money
Not Good,1,  Very very worst
Great value for money device,5,  Awesome camera quality and great display
try other phone,1,  Its not worth try techno mobile or realme c11
Good,5,  Good products
Nice,5,  Nice phone at cheap price
super,3,  Not bad
Awesome,5,  Awesome
display size and quality,5,  very satisfied with display size and quality
Super,5,  Outstanding performance 👍👍👍
Good quality,5,  Very good and very good camera
Nice,5,  Nice mobile but it feels heavy
Good,4,  Good phone for this much price
Okay product,3,  There is no fingerprint censor
Phone is good and budget friendly.,4,  As per price but good product.
Best Mobile.,5,  Under 7000 Best mobile..💐🥰😍
Not good as expected,1,  Not up to the mark as expected
Budget phone,5,  Good mobile phone with budget.
Amazon great brand,5,  Good product as well as amazon service
Good option for mobile,4,  Its smart mobile for the smart person.
Nice,5,  Very nice product in such small amount
Good phone but not camera quality,3,  Phone is good but not camera quality .
Camera quality,3,  This product is good but not very good
Nice phone best budget phone,5,  I like the. Battery 🔋 in budget phone
Best one on this budget (7499),3,  Overall it is a good for domestic use.
Good product,4,"  Camera quality is good, superb product"
Hang mobile,1,  Not good peace is hang
Nice fone,4,  Nice fone good quality
Quality is good,5,  Camera quality is good
2,2,  Camer not good quality
Worth of money,5,  Worth of money
Bad,2,  It s not the gud
Good,5,  Good
Nice phone,4,  Nice Phone to use with low budget price
Ok,4,  Nice👍
Super,4,  Superb
Very nice products,5,  I like
Low cost,5,  Good
Good,5,  Front Camera quality is ok ok
Looking nice in hand,5,  Battery life is so beneficial
Very good average phone,4,  Very good average phone. 10/6
Better price,4,  Not given fingerprint reader.
Made in china,1,  Pure made in china product 👎
Mind blowing,5,"  Super camera, value for money"
It doesn't has many miui12 features.,4,  A good product at good price.
Nice mobile,5,  Super super super performance
Hang on sometime..overall battery  is good,2,  Not so good.. unexpected this
Nice performance,4,  Good product for this range thank you
Hitting problem,1,  Mobail is the best but Heting problem
Awesome,5,  Value for moneyBig screen
Average,3,  Overall average product at this price
Wireless radio not supported,5,"  Wireless radio not available, its bad"
Bad experience for online shopping. Bought mobile online for the 1st time but charger not working,1,  New charger with redmi 9A not working
Good Mobile at best price,5,"  Value for money, good display quality"
good experience..........,4,  good produced but camera poor quality
Bad,1,  Made in India  stam  rad colour print
Suprrrr,4,  Super budget smart phone from mi👍👍❤
It's ok,2,  Phones speaker started blurring sound
Redme 9Am,4,  This product has no fingerprint lock.
Good work,5,  Good service and time keeping is good
Very bad,1,  Poor qualityHanging problem etc
Battery,1,  Battery get overheated while charging
Not good phone,2,  Late response phone or calling issues
Best phone,5,  Best phone in this range. price worth
To increase phone working speed,4,  Worth for price but camera quality ok
Camera,4,  Camera is not very good.It's ok
Worst camera ever,1,  Worst camera ever in this price range
Cheap and best.,4,  Very good quality in affordable range
*****,5,  The redmi 9a is powerful battery life
Great phone,4,  What a nice phone I very much like it
Good product,4,  Like
Low speaker sound,3,  Speaker sound is very low and no IR
I am happy,5,  I like this product
Good quality products,5,  Good quality products
Nice phone,5,  Superb battery backup
Airphone,5,  Very good👍👍👍👍👍👍
pathetic oprational machnism,1,  dont buy this product
Good,3,  Not bad price so high
Nice camera & battery also,5,  Nice product.
Average,4,  Good product.
"link, attachment don't open on first attempt also system hangs. Don't buy this phone.",1,  Not important
Good,5,  Extraordinary
Prompt delivary,5,  Worth buying.
Very awesome,5,  Good product
Well right h,4,  Camera quality is not good
Camera features are good,5,  Best phone under 7000
Nice mobile but no fingerprint sensor,4,  No fingerprint sensor  very good phone
Like it,5,  Best
Power pack,5,  Super
Awesome,5,  Great
Nice,5,  Super
Made in chaina,1,  Made in chaina product
Nothing,4,  Overall good phone in budget
Better smartphone at this cost,2,  It doesn't have finger print
*****,4,  Best product in money value.
first see online specs,5,  fingureprint doesn't in this
Superb phone,5,"  Very nice, excellent battery"
Stylish look,5,  Low budget but great product
Value for money,4,  This is good product to buy.
Missing product,2,  I am not recieved head Phone
